rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.4,77,9923,81,9919,1,5,10000,0,10000,0,0,0,-0.4,-0.29950258029751,0.10049741970249,-0.10049741970249,1.26423206712671,1.45587731303965,-0.285956540720549,-0.057475412556207,-0.637191090983697,0.208428969211929,-0.391962309967459,0.107484315832058
-0.35,272,9728,281,9719,2,11,10000,0,10000,0,0,0,-0.35,-0.261663518495813,0.088336481504187,-0.088336481504187,1.26387824009915,1.45607190805839,-0.228710213728054,-0.05002497292521,-0.542596991503242,0.214815710257314,-0.342818864146507,0.249734809053634
-0.3,697,9303,723,9277,30,56,10000,0,10000,0,0,0,-0.3,-0.224601966990835,0.075398033009165,-0.075398033009165,1.26371004170437,1.45628981557671,-0.170879186356201,-0.039982499657978,-0.49810536983059,0.52578624922537,-0.3255737712099,0.376777435734621
-0.25,1483,8517,1514,8486,108,139,10000,0,10000,0,0,0,-0.25,-0.187562226930339,0.062437773069661,-0.062437773069661,1.26591718107541,1.45826969021538,-0.114619244107617,-0.027799454636793,-0.5615260943507,0.541202257472419,-0.277007129167709,0.311454847841305
-0.2,2685,7315,2696,7304,281,292,10000,0,10000,0,0,0,-0.2,-0.150211442066462,0.049788557933538,-0.049788557933538,1.26447218223431,1.45611722295396,-0.059900666954052,-0.011228239761833,-0.420001884914645,0.472653095377081,-0.238466589184348,0.385664488148393
-0.15,4543,5457,4358,5642,631,446,10000,0,10000,0,0,0,-0.15,-0.112416529765885,0.037583470234115,-0.037583470234115,1.2653841309475,1.45815709544995,-0.000996594921106,0.011286666645283,-0.322869744396939,0.624884515124885,-0.201185696481322,0.545350583089964
-0.1,6473,3527,6119,3881,829,475,10000,0,10000,0,0,0,-0.1,-0.07481660935784,0.02518339064216,-0.025175855960032,1.26184960110479,1.45477643734869,0.054769451356067,0.039442236459587,-0.351210947590968,0.700684911925982,-0.162894587218332,0.574690110295714
-0.05,8205,1795,7700,2300,888,383,10000,0,10000,0,0,0,-0.05,-0.03763109318767,0.01236890681233,-0.011178133479003,1.2652972526476,1.45777678558533,0.111793231097518,0.07205761003816,-0.207300964485878,0.763914554621256,-0.145278774279131,0.714796076843338
0,9285,715,8925,1075,572,212,10000,0,10000,0,0,0,6.9041648590259E-20,-1.41664715861517E-05,-1.41664715861517E-05,0.018285017608159,1.26568032093758,1.45792901339303,0.166705142568198,0.111575057408517,-0.17086575202445,0.818612176854354,-0.108415457420545,0.820074623535627
0.05,9821,179,9600,400,294,73,10000,0,10000,0,0,0,0.05,0.037619809067133,-0.012380190932867,-0.011203845613241,1.26526882199869,1.45784140723251,0.225899485407379,0.157217372464963,-0.163335184004099,0.842962028189926,-0.132073112009289,0.836848636441831
0.1,9970,30,9883,117,102,15,10000,0,10000,0,0,0,0.1,0.074821242709811,-0.025178757290189,-0.025142668134986,1.26255034291172,1.45467312936184,0.282453575943927,0.204491746636641,-0.04214689578141,1.00653201384172,-0.048747724211804,0.952579393855396
0.15,9998,2,9983,17,17,2,10000,0,10000,0,0,0,0.15,0.112046007949287,-0.037953992050713,-0.037951868408177,1.26426076837239,1.45617948427064,0.343530642593813,0.257032002765887,-0.056358442978873,1.12148097847748,-0.043309873581596,0.999714261704083
0.2,10000,0,9998,2,2,0,10000,0,10000,0,0,0,0.2,0.150014500265403,-0.049985499734597,-0.049985499734597,1.26392834370319,1.45630001988335,0.397909074233536,0.308328004244112,0.01644667041179,1.09697408155551,-0.006097090381918,1.29392436905688
0.25,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.25,0.187559966499787,-0.062440033500213,-0.062440033500213,1.26507042953372,1.4576538285493,0.456842719444802,0.36572123016065,0.056193740286446,1.31408133879019,0.022530823948126,1.13728493661534
0.3,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.3,0.224177551018809,-0.075822448981191,-0.075822448981191,1.26676142060006,1.45889046875561,0.515291651954192,0.42223477993912,0.127613097729073,1.31432611785439,0.02470230246018,1.31225545388655
0.35,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.35,0.262179616453449,-0.087820383546551,-0.087820383546551,1.26611048296447,1.45774794759035,0.569360794764739,0.473836009579435,0.147282179418433,1.29643407510478,0.033368039275312,1.33752694244185
0.4,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.4,0.299282916867706,-0.100717083132294,-0.100717083132294,1.26156405089825,1.45394350799679,0.62607946155722,0.532285897691655,0.228054392650762,1.3562011998288,0.10715790512931,1.39919898568478
0.45,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.45,0.336557391867555,-0.113442608132445,-0.113442608132445,1.26324750493174,1.45584520435887,0.686732742962581,0.597613084753646,0.239499076759431,1.91157563664797,0.100082536104201,1.75511636011277
0.5,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.5,0.373742607185695,-0.126257392814305,-0.126257392814305,1.26382003426674,1.45649846581819,0.746018869208971,0.655725853359619,0.291157940924553,1.47053870965886,0.10615126275062,1.59456767920956
0.55,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.55,0.41198837690755,-0.13801162309245,-0.13801162309245,1.26371531477619,1.45674104337811,0.803866967983159,0.721061661223237,0.345792939034981,1.58966879089456,0.199565448725681,1.54682439840872
0.6,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.6,0.449707714841261,-0.150292285158739,-0.150292285158739,1.26319196392872,1.45542181525558,0.860112781772058,0.78014482311636,0.394112770079315,1.60502948718717,0.272358145223259,1.77653251892075
0.65,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.65,0.486536198520675,-0.163463801479325,-0.163463801479325,1.26424904252783,1.45669808706702,0.92017381861645,0.843721228120508,0.457964904522468,1.64563321118573,0.315488979552793,1.79837072643293
0.7,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.7,0.523981542604742,-0.176018457395258,-0.176018457395258,1.26397979709842,1.45657408694396,0.977481226035319,0.906723257708352,0.411120030536742,1.94307645441617,0.30036307575279,1.85004020182113
0.75,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.75,0.561712309902634,-0.188287690097366,-0.188287690097366,1.26507549138588,1.45700052989114,1.03700070305307,0.971128156650449,0.555062096407172,2.15826680862238,0.350778579360045,1.98867954070671
0.8,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.8,0.598794770067477,-0.201205229932523,-0.201205229932523,1.26283173630936,1.45521923609691,1.09600019870308,1.0352037155937,0.582294369486561,1.87063377250656,0.361600969234744,2.03491103214912
0.85,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.85,0.636671795918095,-0.213328204081905,-0.213328204081905,1.26615514931666,1.45818590182155,1.15555488915533,1.10124713259319,0.654428667370745,1.91824923709045,0.454404931152773,2.01661243457585
0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.673718025760486,-0.226281974239514,-0.226281974239514,1.26333827706734,1.45558869333982,1.21461974712278,1.16370762628369,0.710540662370495,2.05146486370677,0.547141479789506,2.01637491127538
